millis,block_temp_1,block_temp_2,block_temp_mean,temp_cap,block_gradient,cap_gradient,l_btn,r_btn,H70_pwm,H50_pwm,H_CAP_pwm,H70_act,H50_act,H_CAP_act,FAN_act,AZ_5,target_temp_block,target_temp_cap,heat_act
922049,95.00,93.25,94.12,109.75,0.64,-0.04,0,0,100,100,100,1,1,1,0,0,95.00,110.00,1
922751,95.25,92.50,93.87,110.00,0.64,-0.00,0,0,0,0,100,1,1,1,0,0,95.00,110.00,1
923447,94.50,93.50,94.00,110.00,0.60,-0.00,0,0,0,0,0,1,1,1,0,0,95.00,110.00,1
924147,94.75,93.00,93.87,109.75,0.42,-0.00,0,0,100,100,0,1,1,1,0,0,95.00,110.00,1
924849,95.00,93.75,94.37,109.75,0.35,-0.04,0,0,100,100,100,1,1,1,0,0,95.00,110.00,1
925547,95.00,93.50,94.25,110.00,0.42,-0.07,0,0,0,0,100,1,1,1,0,0,95.00,110.00,1
926243,95.25,92.75,94.00,109.50,0.35,-0.04,0,0,0,0,0,1,1,1,0,0,95.00,110.00,1
926945,94.75,93.00,93.87,110.25,0.32,-0.07,0,0,0,0,100,1,1,1,0,0,95.00,110.00,1
927644,94.25,93.25,93.75,110.00,0.17,0.07,0,0,100,100,0,1,1,1,0,0,95.00,110.00,1
928343,94.25,92.75,93.50,109.25,0.03,0.00,0,0,100,100,0,1,1,1,0,0,95.00,110.00,1
929047,94.75,92.25,93.50,109.75,-0.04,-0.04,0,0,100,100,100,1,1,1,0,0,95.00,110.00,1
929750,94.75,92.75,93.75,109.75,-0.04,-0.00,0,0,100,100,100,1,1,1,0,0,95.00,110.00,1
930453,94.25,93.25,93.75,110.00,-0.07,-0.04,0,0,100,100,100,1,1,1,0,0,95.00,110.00,1
931158,94.50,93.25,93.87,110.00,-0.04,-0.00,0,0,100,100,0,1,1,1,0,0,95.00,110.00,1
931858,95.00,93.00,94.00,110.50,-0.04,0.04,0,0,100,100,0,1,1,1,0,0,95.00,110.00,1
932556,94.25,93.25,93.75,109.50,-0.00,0.11,0,0,0,0,0,1,1,1,0,0,95.00,110.00,1
933262,94.75,93.50,94.12,109.75,-0.11,-0.07,0,0,100,100,100,1,1,1,0,0,95.00,110.00,1
933967,95.25,93.25,94.25,110.00,-0.07,0.03,0,0,100,100,100,1,1,1,0,0,95.00,110.00,1
934665,94.50,93.50,94.00,109.75,0.07,-0.04,0,0,0,0,0,1,1,1,0,0,95.00,110.00,1
